Russian,Polish
Широкий (Улица очень широкая),Szeroki (Ulica jest bardzo szeroka)
Передавать (Передай ему информацию),Przekazywać (Przekaż mu informację)
Подруга (Моя подруга из Украины),Przyjaciółka (Moja przyjaciółka jest z Ukrainy)
Ужин (Я пригласил её на ужин),Kolacja (Zaprosiłem ją na kolację)
"Утешать (Утешь его, он грустный)","Pocieszać (Pociesz go, jest smutny)"
Поддерживать (Я всегда поддерживаю друзей),Wspierać (Zawsze wspieram przyjaciół)
Ремонт (У нас ремонт в квартире),Remonć (Mamy remont w mieszkaniu)
Записывать (Я записываю новые слова),Zapisywać (Zapisuję nowe słowa)
Фирменный (У меня фирменный ноутбук),Firmowy (Mam firmowy laptop)
Работодатель (Мой работодатель добрый),Pracodawca (Mój pracodawca jest miły)
Английский (Я говорю по-английски),Angielski (Mówię po angielsku)
Старый (Это старое здание),Stary (To jest stary budynek)
Руководитель (Я руководитель проекта),Kierownik (Jestem kierownikiem projektu)
Изменение (У меня смена на работе в семь),Zmiana (Mam zmianę w pracy o siódmej)
Остановка (Автобус останавливается на остановке),Przystanka (Autobus zatrzymuje się na przystanku)
Малыш (Мой малыш трёх лет),Maluch (Moj maluch ma trzy lata)
Голос (У тебя красивый голос),Głos (Masz piękny głos)
Выступать (Я выступаю в музыкальной группе),Występować (Występuję w zespole muzycznym)
Убеждать (Я убеждаю его в своём плане),Przekonywać (Przekonuję go do swojego planu)
Отчёт (Напиши отчёт о проекте),Sprawozdanie (Napisz sprawozdanie z projektu)
Провести (Я провёл каникулы на море),Spędzić (Spędziłem wakacje nad morzem)
Ехать (Я еду в Варшаву поездом),Jechać (Jadę do Warszawy pociągiem)
Отпуск (У меня отпуск в августе),Urlop (Mam urlop w sierpniu)
Жена (Моя жена — врач),Żona (Moja żona jest lekarką)
Лыжи (Я еду кататься на лыжах в горы),Narty (Jadę na narty w góry)
"Забрать; ответить (Ответь на звонок, пожалуйста)","Odebrać (Odbierz telefon, proszę)"
Забота; опека (Ребёнок нуждается в заботе),Opieka (Dziecko potrzebuje opieki)
"Открыть (Открой окно, пожалуйста)","Otworzyć (Otwórz okno, proszę)"
Дверь (Закрой дверь),Drzwi (Zamknij drzwi)
Взять напрокат (Я взял напрокат велосипед),Wypożyczyć (Wypożyczyłem rower)
Спортзал (Я хожу в спортзал два раза в неделю),Siłowny (Chodzę na siłownię dwa razy w tygodniu)
Касса (Я плачу в кассе),Kasa (Płacę przy kasie)
Муж (Мой муж — программист),Mąż (Mój mąż jest programistą)
Традиционный (Это традиционное польское блюдо),Tradycyjny (To jest tradycyjne polskie danie)
Бронировать (Я бронирую столик на завтра),Rezerwować (Rezerwuję stolik na jutro)
Еда (Эта еда вкусная),Jedzenie (To jedzenie jest smaczne)
Кот (У меня чёрный кот),Kot (Mam czarnego kota)
Вместо (Вместо кофе возьми чай),"Zamiast (Zamiast kawy, weź herbatę)"
Авария (У нас была авария электричества),Awaria (Mieliśmy awarię prądu)
Отсутствие (Его отсутствие было заметно),Nieobecność (Jego nieobecność była zauważalna)
Владелец (Владелец магазина приятный),Właściciel (Właściciel sklepu jest miły)
Полюбить (Я полюбил этот город с первого взгляда),Ulubić (Ulubiłem to miasto od pierwszego wejrzenia)
Случай (Это был случай),Przypadek (To był przypadek)
Причина (Какова причина проблемы?),Przyczyna (Jaka jest przyczyna problemu?)
Организовать (Я организую вечеринку на день рождения),Organizować (Organizuję przyjęcie urodzinowe)
Штраф (Я получил штраф за парковку),Mandat (Dostałem mandat za parkowanie)
"Зато; однако (Он любит кофе, а я предпочитаю чай)","Natomiast (On lubi kawę, natomiast ja wolę herbatę)"
Автобус (Автобус едет в центр),Autobus (Autobus jedzie do centrum)
Поведение (Твоё поведение было неподобающим),Zachowanie (Twoje zachowanie było niewłaściwe)
Реакция (Его реакция была смешной),Reakcja (Jego reakcja była śmieszna)
"Искренне (Честно говоря, я не знаю)","Szczerze (Szczerze mówiąc, nie wiem)"
Счастливый (Я счастлив в Гданьске),Szczęśliwy (Jestem szczęśliwy w Gdańsku)
Вы (Вы — мои друзья),Wy (Wy jesteście moimi przyjaciółmi)
Торжество (Торжество началось в десять),Uroczystość (Uroczystość rozpoczęła się o dziesiątej)
День рождения (Когда у тебя день рождения?),Urodzina (Kiedy masz urodziny?)
Семья (Моя семья живёт в Гданьске),Rodzina (Moja rodzina mieszka w Gdańsku)
Подготовить (Я подготовил презентацию),Przygotować (Przygotowałem prezentację)
Зависимость (Это зависимость от погоды),Zależność (To zależność od pogody)
Найти (Ты найдёшь это в интернете),Znajdziesz (Znajdziesz to w internecie)
Рассмотреть (Я рассмотрю твоё предложение),Rozważyć (Rozważę twoją propozycję)
Большой палец (Держи кулачки!),Kciuk (Trzymaj kciuki!)
Отдых (Мне нужен отдых),Odpoczynek (Potrzebuję odpoczynku)
Осмотреть (Я осмотрел Старый город в Гданьске),Zwiedzić (Zwiedziłem Stare Miasto w Gdańsku)
Скорее (Скорее я предпочитаю чай),Raczej (Raczej wolę herbatę)
Индивидуальный (У меня индивидуальные уроки польского),Indywidualny (Mam indywidualne lekcje polskiego)
Каждый (Каждый день разный),Każdy (Każdy dzień jest inny)
Трудный (Это трудное задание),Trudny (To jest trudne zadanie)
Тяжело (Я работаю тяжело),Ciężko (Pracuję ciężko)
Боль (У меня болит голова),Ból (Mam ból głowy)
Документ (Подпиши этот документ),Dokument (Podpisz ten dokument)
Перед (Перед выходом проверь погоду),Przed (Przed wyjściem sprawdź pogodę)
Мебель (Я купил новую мебель в гостиную),Mebel (Kupiłem nowy mebel do salonu)
Пан; вы (Пан Ковальский — директор),Pan (Pan Kowalski jest dyrektorem)
Опция (У меня есть лучший вариант),Opcja (Mam lepszą opcję)
Именно; как раз (Я только что вернулся домой),Właśnie (Właśnie wróciłem do domu)
Автор (Кто автор этой книги?),Autor (Kto jest autorem tej książki?)
Столько (Столько людей пришло!),Tyle (Tyle osób przyszło!)
Веселье (Хорошее веселье гарантировано),Zabawa (Dobra zabawa gwarantowana)
Отдыховый (Я купил дом отдыха у моря),Wypoczynkowy (Kupiłem dom wypoczynkowy nad morzem)
Зал (Зал был полон людей),Sala (Sala była pełna ludzi)
Тип (Какой это тип фильма?),Typ (Jaki to typ filmu?)
"Подумать (Подумай, прежде чем ответить)","Zastanowić (Zastanów się, zanim odpowiesz)"
Совершить (Я совершил выбор),Dokonać (Dokonałem wyboru)
Забрать (Возьми с собой зонт),Zabrać (Zabierz ze sobą parasol)
Начало (Начало фильма было скучным),Początek (Początek filmu był nudny)
Вернуть; обратить (Обрати внимание на детали),Zwrócić (Zwróć uwagę na szczegóły)
Развивать (Я развиваю свои навыки),Rozwijać (Rozwijam swoje umiejętności)
Радоваться (Я рад тебя видеть),"Cieszyć (Cieszę się, że cię widzę)"
Родитель (Мои родители живут в Кракове),Rodzic (Moi rodzice mieszkają w Krakowie)
Происходить (Что происходит?),Dziać (Co się dzieje?)
Первый (Это мой первый раз в Гданьске),Pierwszy (To mój pierwszy raz w Gdańsku)
Тушить (Я тушу мясо на сковороде),Dusić (Duszę mięso na patelni)
"Карта (Принесите меню, пожалуйста)",Karta (Poproszę kartę dań)
Стоматологический (У меня визит к стоматологу),Stomatologiczny (Mam wizytę u stomatologa)
Нужный (Этот документ нужен),Potrzebny (Ten dokument jest potrzebny)
Здоровье (Твоё здоровье — самое важное),Zdrowie (Twoje zdrowie jest najważniejsze)
Большой (У меня большой дом),Duży (Mam duży dom)
Дорога (Дорога в Гданьск занимает три часа),Droga (Droga do Gdańska zajmuje trzy godziny)
Специальный (Это особый случай),Specjalny (To specjalna okazja)
Поднять (Подними руку),Podnieść (Podnieś rękę)
Утро (Я встаю утром в семь),Rano (Wstaję rano o siódmej)
Проходить (Уроки проходят по понедельникам),Odbywać (Lekcje odbywają się w poniedziałki)
Предлагать (Фирма предлагает хорошие условия),Oferywać (Firma oferuje dobre warunki)
Пчела (Пчёлы производят мёд),Pszczoła (Pszczoły produkują miód)
Название (Какое название этой книги?),Tytuł (Jaki jest tytuł tej książki?)
Появляться (Проблемы появляются внезапно),Pojawiać (Problemy pojawiają się nagle)
Бассейн (Я хожу в бассейн в субботу),Basen (Chodzę na basen w sobotę)
Приют (Приют для животных ищет волонтёров),Schronisko (Schronisko dla zwierząt szuka wolontariuszy)
Означать (Что означает это слово?),Oznaczać (Co oznacza to słowo?)
Средства (У меня есть средства на эту цель),Środki (Mam środki na ten cel)
Безопасный (Гданьск — безопасный город),Bezpieczny (Gdańsk jest bezpiecznym miastem)
Решение (Я принял важное решение),Decyzja (Podjąłem ważną decyzję)
Балкон (У меня балкон с видом на море),Balkon (Mam balkon z widokiem na morze)
Мусор (Выброси мусор в корзину),Śmieć (Wyrzuć śmieci do kosza)
Неудобство (Извините за неудобство),Niedogodność (Przepraszam za niedogodność)
Произойти (Произошло что-то важное),Wydarzyć (Wydarzyło się coś ważnego)
Никогда (Я никогда не был в Варшаве),Nigdy (Nigdy nie byłem w Warszawie)
Январь (Январь — самый холодный месяц),Styczenie (Styczeń to najzimniejszy miesiąc)
Форма; персонаж (Какой твой любимый персонаж из фильма?),Postać (Jaka jest twoja ulubiona postać z filmu?)
Взгляд (У меня другие взгляды),Pogląd (Mam inne poglądy)
Формальный (Это формальная встреча),Formalny (To formalne spotkanie)
Отправитель (Отправитель этой посылки неизвестен),Nadawca (Nadawca tej paczki jest nieznany)
Характер (У неё сильный характер),Charakter (Ma silny charakter)
Вступление (Вступление к книге интересное),Wstęp (Wstęp do książki jest ciekawy)
Развитие (Развитие темы было интересным),Rozwinięcie (Rozwinięcie tematu było interesujące)
Закончить (Я закончу работу в пять),Zakończyć (Zakończę pracę o piątej)
Глаз (У неё красивые глаза),Oko (Ma piękne oczy)
Выражение (Учи новые выражения),Wyrażenie (Ucz się nowych wyrażeń)
Женщина (Эта женщина — моя сестра),Kobieta (Ta kobieta jest moją siostrą)
Хобби (Моё хобби — фотография),Hobby (Moje hobby to fotografia)
Композиция (Композиция этого фото отличная),Kompozycja (Kompozycja tego zdjęcia jest świetna)
Грамматический (Это грамматическое упражнение),Gramatyczny (To ćwiczenie gramatyczne)
Лексический (Лексический тест был сложный),Leksykalny (Test leksykalny był trudny)
Стилистический (Стилистическая ошибка в предложении),Stylistyczny (Błąd stylistyczny w zdaniu)
Пунктуационный (Знаки препинания важны),Interpunkcyjny (Znaki interpunkcyjne są ważne)
Орфографический (Я сделал орфографическую ошибку),Ortograficzny (Zrobiłem błąd ortograficzny)
Неисправность (У меня неисправность в машине),Usterkać (Mam usterkę w samochodzie)
Подчёркивание (Подчёркивание важно в тексте),Podkreślenie (Podkreślenie jest ważne w tekście)
Одежда (Я купил новую одежду),Ubranie (Kupiłem nowe ubranie)
Выполнять (Я исполняю свои мечты),Spełniać (Spełniam swoje marzenia)
Внимательно (Слушай внимательно),Uważnie (Słuchaj uważnie)
Выполнять (Я выполняю задание),Wykonywać (Wykonuję zadanie)
Доктор (Доктор Ковальский принимает завтра),Doktor (Doktor Kowalski przyjmuje jutro)
Вписать (Впиши свои данные в форму),Wpisać (Wpisz swoje dane w formularzu)
Кампания (Это новая рекламная кампания),Kampania (To nowa kampania reklamowa)
Интернет (Я пользуюсь интернетом каждый день),Internet (Korzystam z internetu codziennie)
Разделить (Поделись своим опытом),Podzielić (Podziel się swoimi doświadczeniami)
Когда-то (Когда-то я был в Кракове),Kiedyś (Kiedyś byłem w Krakowie)
Высокий (У меня высокий рост),Wysoki (Mam wysoki wzrost)
Прилагательное (Прилагательное описывает существительное),Przymiotnik (Przymiotnik opisuje rzeczownik)
Только; лишь (Я только начинаю учить),Dopiero (Dopiero zaczynam naukę)
Ненужный (Это ненужные расходы),Niepotrzebny (To niepotrzebne wydatki)
Студент (Я студент польского),Student (Jestem studentem polskiego)
Жить (Я живу в Гданьске),Żyć (Żyję w Gdańsku)
Авиационный (Это аэропорт в Гданьске),Lotniczy (To jest port lotniczy w Gdańsku)
Красота; внешность (У неё красота матери),Uród (Ma urodę swojej matki)
Поблизости (Рядом есть магазин),Pobliż (W pobliżu jest sklep)
Железнодорожный (Железнодорожный вокзал в центре),Kolejowy (Dworzec kolejowy jest w centrum)
Симптом (Симптомы гриппа — температура и кашель),Objaw (Objawy grypy to gorączka i kaszel)
Простуда (Я простудился),Przeziębieć (Jestem przeziębiony)
Продавец (Продавец был приятный),Sprzedawca (Sprzedawca był miły)
Заказать (Я заказал еду через приложение),Zamówioć (Zamówiłem jedzenie przez aplikację)
Несколькодневный (У меня поездка на несколько дней),Kilkudniowy (Mam kilkudniowy wyjazd)
Выбирать (Я выбираю подарок для друга),Wybierać (Wybieram prezent dla przyjaciela)
Поздравлять (Я поздравляю тебя с успехом!),Gratulować (Gratuluję ci sukcesu!)
Папка (Спрячь документы в папку),Teczka (Schowaj dokumenty do teczki)
Офис (Я работаю в офисе в центре),Biuro (Pracuję w biurze w centrum)
Повышение (Я получил повышение зарплаты),Podwyżka (Dostałem podwyżkę w pracy)
Вечер (Вечером я иду в кино),Wieczorz (Wieczorem idę do kina)
Литературный (Это литературный конкурс),Literacki (To konkurs literacki)
Обновить (Я обновил свою квартиру),Odnowić (Odnowiłem swoje mieszkanie)
Сплав (Сплав на байдарках был отличный),Spływ (Spływ kajakowy był świetny)
Байдарочный (Байдарочный сплав был приключением),Kajakowego (Spływ kajakowy był przygodą)
Новоселье (У нас новоселье в новой квартире),Parapetówka (Mamy parapetówkę w nowym mieszkaniu)
Возмещать (Фирма возмещает курс языка),Refundować (Firma refunduje kurs języka)
Благотворительный (Я принимаю участие в благотворительной акции),Charytatywny (Biorę udział w akcji charytatywnej)
Сбор (Сбор денег занял месяц),Uzbieranie (Uzbieranie pieniędzy zajęło miesiąc)
Рассказывать (Я рассказываю интересную историю),Opowiadać (Opowiadam ciekawą historię)
План (У меня план на каникулы),Plan (Mam plan na wakacje)
Повышение (Я получил повышение по работе),Awans (Dostałem awans w pracy)
Не знать (Я не знаю этого слова),Nie znać (Nie znam tego słowa)
Район (В Гданьске много районов),Dzielnica (Gdańsk ma wiele dzielnic)
Родиться (Я родился в Гданьске),Urodzić (Urodziłem się w Gdańsku)
Опаздывать (Я опаздываю на работу),Spóźnia (Spóźniam się do pracy)
Никакой (Никакая проблема не слишком сложна),Żaden (Żaden problem nie jest za trudny)
Великолепный (Это великолепная идея!),Wspaniać (To wspaniały pomysł!)
Сцена (Сцена в театре была красивая),Scena (Scena w teatrze była piękna)
Слишком (Слишком много работы),Zbyt (Zbyt dużo pracy)
Громко (Говори громче),Głośno (Mów głośniej)
Учёба (Изучение польского интересно),Nauka (Nauka polskiego jest ciekawa)
Гитара (Я играю на гитаре),Gitar (Gram na gitarze)
Отменить (Отменили рейс из-за тумана),Odwołać (Odwołali lot z powodu mgły)
Кабинет (Врачебный кабинет на первом этаже),Gabinet (Gabinet lekarski jest na parterze)
Устанавливать (Мы устанавливаем дату встречи),Ustalać (Ustalamy termin spotkania)
Полиция (Полиция приехала на место аварии),Policja (Policja przyjechała na miejsce wypadku)
Нога (У меня болит нога),Noga (Boli mnie noga)
Самый красивый (Это самый красивый пляж в округе),Najładniejszy (To najładniejsza plaża w okolicy)
Костюм (Я купил новый костюм),Garnitura (Kupiłem nową garniturę)
Требовать (Эта работа требует терпения),Wymagać (Ta praca wymaga cierpliwości)
Агрессивный (Эта собака агрессивная),Agresywny (Ten pies jest agresywny)
Слесарь (Слесарь починил замок в двери),Ślusarz (Ślusarz naprawił zamek w drzwiach)
Сюрприз (У меня для тебя сюрприз),Niespodzianka (Mam dla ciebie niespodziankę)
Водный (Мы любим водные виды спорта),Wodny (Lubimy sporty wodne)
Девушка (Моя девушка — полька),Dziewczyna (Moja dziewczyna jest Polką)
На двадцать человек (Мы арендовали зал на двадцать человек),Dwudziestoosobowy (Wynajęliśmy salę dwudziestoosobową)
День рождения (Это день рождения),Urodzinowy (To przyjęcie urodzinowe)
Возможный (У меня возможный план Б),Ewentualny (Mam ewentualny plan B)
Квалификационный (У меня квалификационный экзамен),Kwalifikacyjny (Mam egzamin kwalifikacyjny)
"Успокоить (Успокойся, всё будет хорошо)","Uspokoić (Uspokój się, wszystko będzie dobrze)"
Договориться (Я договорился о встрече с врачом),Umówić (Umówiłem się z lekarzem)
Участвовать (Я участвую в курсе),Uczestniczyć (Uczestniczę w kursie)
Деловой (У меня деловая встреча),Biznesowy (Mam spotkanie biznesowe)
Вдруг (Вдруг начался дождь),Nagle (Nagle zaczął padać deszcz)
Профессиональный (Это профессиональное училище),Zawodowy (To jest szkoła zawodowa)
Исполнить (Я исполнил свою мечту),Spełnić (Spełniłem swoje marzenie)
Появиться (Появилась новая проблема),Pojawić (Pojawił się nowy problem)
Оставлять (Не оставляй вещи на столе),Pozostawiać (Nie pozostawiaj rzeczy na stole)
"Лестничный (Я живу на пятом этаже, лестничная клетка)","Schodowy (Mieszkam na piątym piętrze, jest klatka schodowa)"
Царить (В комнате царит порядок),Panować (W pokoju panuje porządek)
Ужасный (Это ужасная погода),Okropny (To okropna pogoda)
Запах (У тебя приятный запах духов),Zapach (Masz dobry zapach perfum)
Кастрюля (Свари суп в кастрюле),Garnek (Ugotuj zupę w garnku)
Кассир (Кассир выдал мне сдачу),Kasjer (Kasjer wydał mi resztę)
Насчитать (Я насчитал десять человек),Naliczyć (Naliczyłem dziesięć osób)
"Двойной (Пожалуйста, двойной кофе)",Podwójny (Poproszę podwójną kawę)
Плата (Плата за курс — 200 злотых),Opłata (Opłata za kurs to 200 złotych)
Товар; статья (Я купил продукты питания),Artykuł (Kupiłem artykuły spożywcze)
Оставить (Оставь ключи на столе),Pozostawić (Zostaw klucze na stole)
Автобусный (Это автобусная остановка),Autobusowy (To przystanek autobusowy)
Личный (Это личное дело),Osobisty (To sprawa osobista)
Начальница (Моя начальница требовательная),Szefowy (Moja szefowa jest wymagająca)
Неудобный (Этот стул неудобный),Niewygodny (To krzesło jest niewygodne)
Тётя (Мои тёти живут в Кракове),Ciocie (Moje ciocie mieszkają w Krakowie)
Билетный (Билетная касса слева),Biletowa (Kasa biletowa jest po lewej)
Просрочить (Этот продукт просрочен),Przeterminować (Ten produkt jest przeterminowany)
Выписывать (Я выписываю рецепт),Wypisywać (Wypisuję receptę)
Длить; удлинять (Я тяну эту работу уже неделю),Dłużyć (Dłużę tę pracę od tygodnia)
Запланировать (Я запланировал отпуск),Zaplanować (Zaplanowałem wakacje)
Сопровождать (Сопровождающее лицо имеет скидку),Towarzyszącej (Osoba towarzysząca ma zniżkę)
Электричество (Нет электричества в доме),Prąd (Nie ma prądu w domu)
"Тишина (Пожалуйста, тишина)",Cisza (Proszę o ciszę)
Ночной (У меня ночная работа),Nocny (Mam pracę nocną)
Быстрый (Это быстрый поезд),Szybką (To szybki pociąg)
Сколько (Сколько это стоит?),Ile (Ile to kosztuje?)
Услышать (Я услышал интересную новость),Usłyszeć (Usłyszałem ciekawą wiadomość)
Точно (Повтори точно),Dokładnie (Powtórz dokładnie)
Удалить (Удали этот файл),Usunąć (Usuń ten plik)
Следующий (Следующая остановка — Гданьск-Главный),Następny (Następny przystanek to Gdańsk Główny)
Решить (Я решился на этот курс),Zdecydować (Zdecydowałem się na ten kurs)
Снова (Попробуй снова),Ponownie (Spróbuj ponownie)
Воспользоваться (Воспользуйся случаем),Skorzystać (Skorzystaj z okazji)
Как-то (Я как-нибудь это улажу),Jakoś (Jakoś to załatwię)
Счастье (Мне повезло),Szczęście (Mam szczęście)
Красивый (Гданьск — красивый город),Piękny (Gdańsk jest pięknym miastem)
Принести (Принеси мне стакан воды),Przynieść (Przynieś mi szklankę wody)
Помнить (Помни о встрече),Pamiętać (Pamiętaj o spotkaniu)
Игрок (Он хороший игрок в шахматы),Gracz (Jest dobrym graczem w szachy)
Оставить (Оставь это на потом),Zostawić (Zostaw to na później)
Благодарный (Я тебе благодарен),Wdzięczny (Jestem ci wdzięczny)
Хватить (Этого достаточно),Wystarczyć (To wystarczy)
Заботиться (Я забочусь о здоровье),Dbać (Dbam o zdrowie)
Доступ (У меня есть доступ в интернет),Dostęp (Mam dostęp do internetu)
Желание (Я хочу кофе),Ochot (Mam ochotę na kawę)
Заняться (Я займусь этим),Zajmę (Zajmę się tym)
Возвращение (Я планирую возвращение домой),Powrót (Planuję powrót do domu)
Внешность (Мне нравится твоя внешность),Wygląd (Podoba mi się twój wygląd)
Мечта (Моя мечта сбылась),Marzenie (Moje marzenie się spełniło)
Пусть (Пусть войдёт),Niech (Niech pan wejdzie)
"Классно (Классно, что ты здесь)","Fajnie (Fajnie, że jesteś)"
Погода (Погода в Гданьске переменчивая),Pogoda (Pogoda w Gdańsku jest zmienna)
"Ну что ж (Ну что ж, я не знаю)","Cóż (Cóż, nie wiem)"
Отдохнуть (Хочу отдохнуть на море),Wypocząć (Chcę wypocząć nad morzem)
Классный (Это классный фильм),Fajny (To fajny film)
Нравиться (Мне нравится этот город),Podobać (Podoba mi się to miasto)
Вещь (Важная вещь),Rzecz (Ważna rzecz)
История (Я расскажу тебе историю),Historia (Opowiem ci historię)
Красивый (У тебя красивое платье),Ładny (Masz ładną sukienkę)
Концерт (Я был на концерте в субботу),Koncert (Byłem na koncercie w sobotę)
Право (Я имею право на отпуск),Prawo (Mam prawo do urlopu)
Мысль (У меня есть мысль),Myśl (Mam myśl)
Установить (Давайте установим дату),Ustalić (Ustalmy termin)
"К сожалению (К сожалению, я не могу прийти)","Niestety (Niestety, nie mogę przyjść)"
Ценить (Ценю твою помощь),Doceniać (Doceniam twoją pomoc)
Конкретный (Будь конкретным),Konkretny (Bądź konkretny)
Драматический (Это был драматический момент),Dramatyczny (To był dramatyczny moment)
Роман (Я читаю интересный роман),Powieść (Czytam ciekawą powieść)
Опыт (У меня есть опыт программирования),Doświadczenie (Mam doświadczenie w programowaniu)
Отвечать (Я отвечаю на вопросы),Odpowiadać (Odpowiadam na pytania)
Идеально (Это идеально подходит),Idealnie (To idealnie pasuje)
Провести (Я провёл собеседование),Odbyć (Odbyłem rozmowę kwalifikacyjną)
Необходимый (Это необходимо),Konieczny (To konieczne)
Организация (Я работаю в большой организации),Organizacja (Pracuję w dużej organizacji)
Выступление (Выступление было удачным),Występ (Występ był udany)
Стоить (Сколько это стоит?),Kosztować (Ile to kosztuje?)
Музыка (Я слушаю музыку каждый день),Muzyka (Słucham muzyki codziennie)
Продажа (Я работаю в отделе продаж),Sprzedaż (Pracuję w dziale sprzedaży)
Сила (У меня есть сила),Moc (Mam moc sprawczą)
Довольный (Я доволен результатом),Zadowolony (Jestem zadowolony z wyniku)
Квалификация (У меня есть соответствующая квалификация),Kwalifikacja (Mam odpowiednie kwalifikacje)
Результат (Результат экзамена был хороший),Wynik (Wynik egzaminu był dobry)
Должность (У меня должность руководителя),Stanowisko (Mam stanowisko kierownika)
Постараться (Я постараюсь помочь),Postarać (Postaram się pomóc)
Трудность (У меня трудности с грамматикой),Trudność (Mam trudności z gramatyką)
Рано (Я встаю рано утром),Wcześnie (Wstaję wcześnie rano)
Попросить (Попрошу счёт),Poprosić (Poproszę o rachunek)
Познакомиться (Хочу с тобой познакомиться),Poznać (Chcę cię poznać)
Острый (Это блюдо острое),Pikantny (To danie jest pikantne)
Ход; в ходе (В ходе урока),Trakt (W trakcie lekcji)
Твой (Это твоя ручка),Twój (To twój długopis)
Культурный (Это культурный человек),Kulturalny (To kulturalny człowiek)
Популярный (Это популярное место),Popularny (To popularne miejsce)
Существовать (Эта проблема существует давно),Istnieć (Ten problem istnieje od dawna)
Давний (В давние времена),Dawny (W dawnych czasach)
Спокойно (Говори спокойно),Spokojnie (Mów spokojnie)
Температура (Какая температура?),Temperatura (Jaka jest temperatura?)
Личность (У меня есть удостоверение личности),Tożsamość (Mam dowód tożsamości)
Починить (Я починил компьютер),Naprawić (Naprawiłem komputer)
Цвет (Какой твой любимый цвет?),Kolor (Jaki jest twój ulubiony kolor?)
Ты (Ты — мой друг),Ty (Ty jesteś moim przyjacielem)
Праздник (Пасха — важный праздник),Święto (Wielkanoc to ważne święto)
Сам (Я сделал это сам),Sam (Zrobiłem to sam)
Доставка (Доставка еды занимает 30 минут),Dostawa (Dostawa jedzenia trwa 30 minut)
Вторник (Во вторник у меня визит к врачу),Wtorek (We wtorek mam wizytę u lekarza)
Обращать (Я обращаю внимание на детали),Zwracać (Zwracam uwagę na szczegóły)
Рынок (Рынок Главного города красивый),Rynek (Rynek Głównego Miasta jest piękny)
Практика (У меня практика в фирме),Praktyka (Mam praktykę w firmie)
Стоимость (Стоимость билета — 10 злотых),Koszt (Koszt biletu to 10 złotych)
Второй (Это второй раз на этой неделе),Drugi (To drugi raz w tym tygodniu)
Авторство (Авторство этой книги известно),Autorstwo (Autorstwo tej książki jest znane)
Чтение (Это интересное чтение),Lektura (To ciekawa lektura)
Фитнес (Я хожу на фитнес три раза в неделю),Fitness (Chodzę na fitness trzy razy w tygodniu)
Обновление (У меня обновление системы),Aktualizacja (Mam aktualizację systemu)
Региональный (Это региональное блюдо),Regionalny (To regionalne danie)
Мог бы (Я мог бы тебе помочь),Mógłbym (Mógłbym ci pomóc)
Зритель (Зрители аплодировали выступлению),Widz (Widzowie oklaskiwali występ)
Временный (Это временная работа),Czasowy (To praca czasowa)
Скидка (У меня студенческая скидка),Zniżka (Mam zniżkę studencką)
Осматривать (Я осматриваю старый город),Zwiedzać (Zwiedzam stare miasto)
Успех (Я достиг успеха),Sukces (Osiągnąłem sukces)
Ожидать (Я ожидаю гостей вечером),Spodziewać (Spodziewam się gości wieczorem)
В настоящее время (В настоящее время я живу в Гданьске),Obecnie (Obecnie mieszkam w Gdańsku)
Экзаменационный (Это экзаменационная сессия),Egzaminacyjny (To sesja egzaminacyjna)
Аренда (Аренда квартиры стоит 2000 злотых),Wynajem (Wynajem mieszkania kosztuje 2000 złotych)
Как раз (Как раз сегодня у меня есть время),Akurat (Akurat dzisiaj mam czas)
Вчера (Вчера я был в кино),Wczoraj (Wczoraj byłem w kinie)
Считать; рассчитывать (Он рассчитывает на твою помощь),Liczyć (Liczy na twoją pomoc)
Чек (Попрошу чек),Paragon (Poproszę paragon)
Момент (Подожди момент),Moment (Poczekaj moment)
Показывать (Я показываю ему дорогу),Pokazywać (Pokazuję mu drogę)
Передвинуть (Перенеси встречу на завтра),Przesunąć (Przesuń spotkanie na jutro)
Ванная (Ванная наверху),Łazienka (Łazienka jest na piętrze)
Точный (Будь точным в описании),Dokładny (Bądź dokładny w opisie)
Делить (Мы делим обязанности),Dzielić (Dzielimy się obowiązkami)
Смысл (Это не имеет смысла),Sens (To nie ma sensu)
Шум (Этот шум невыносим),Hałas (Ten hałas jest nie do zniesienia)
Затруднять (Дождь затрудняет езду),Utrudniać (Deszcz utrudnia jazdę)
Вести себя (Веди себя прилично),Zachowywać (Zachowuj się grzecznie)
Сдающий (Сдающие экзамен нервничают),Zdający (Zdający egzamin są zdenerwowani)
Выражать (Я выражаю своё мнение),Wyrażać (Wyrażam swoją opinię)
Уметь (Я умею говорить по-польски),Umieć (Umiem mówić po polsku)
Высказываться (Я высказываюсь на тему),Wypowiadać (Wypowiadam się na temat)
Знание (У меня хорошее знание языка),Znajomość (Mam dobrą znajomość języka)
Письмо; письменность (Это официальное письмо),Pismo (To oficjalne pismo)
Правописание (Правописание этого слова сложное),Pisownia (Pisownia tego słowa jest trudna)
Неформальный (Это неформальная встреча),Nieformalny (To spotkanie nieformalne)
Связать (Завяжи шнурки),Związać (Zwiąż sznurówki)
Выразить (Вырази своё мнение),Wyrażć (Wyraź swoje zdanie)
Звательный падеж (Звательный падеж — это падеж в польском языке),Wołacz (Wołacz to przypadek w języku polskim)
Восклицательный знак (Напиши предложение с восклицательным знаком),Wykrzyknikiem (Napisz zdanie z wykrzyknikiem)
